ТИП НЕДВИЖИМОСТИ;КЛАСС КВАРТИРЫ;ТИП КВАРТИРЫ;Площадь;Стиль;Цветовая гамма;Свет/цвет;Яркость;Ц.А.;Ссылки
Квартиры;БИЗНЕС;ТРЕХКОМНАТНАЯ;100-200;СОВРЕМЕННЫЙ;СВЕТЛАЯ;ХОЛОДНОЕ;ЯРКАЯ;ПАРА;https://disk.yandex.ru/d/_qzQNFTDz8yDIg
Квартиры;БИЗНЕС;ДВУХКОМНАТНАЯ;50-100;СОВРЕМЕННЫЙ;СВЕТЛАЯ;ХОЛОДНОЕ;ЯРКАЯ;ПАРА;https://disk.yandex.ru/d/0LH-YFSB__KzTw
Квартиры;КОМФОРТ;ДВУХКОМНАТНАЯ;50-100;СКАНДИНАВСКИЙ;СВЕТЛАЯ;ТЕПЛОЕ;НЕЙТРАЛЬНАЯ;1 ЧЕЛ;https://disk.yandex.ru/d/0o01TvofwbmMWA
Квартиры;КОМФОРТ;ДВУХКОМНАТНАЯ;50-100;СОВРЕМЕННЫЙ;СВЕТЛАЯ;ТЕПЛОЕ;ЯРКАЯ;1 ЧЕЛ;https://disk.yandex.ru/d/3u0GTDgTkK59Rg
Квартиры;КОМФОРТ;ТРЕХКОМНАТНАЯ;100-200;СКАНДИНАВСКИЙ;СВЕТЛАЯ;ТЕПЛОЕ;НЕЙТРАЛЬНАЯ;1 ЧЕЛ;https://disk.yandex.ru/d/4yjWCBxXbOuXTQ
Квартиры;БИЗНЕС;ДВУХКОМНАТНАЯ;50-100;СОВРЕМЕННЫЙ;СВЕТЛАЯ;ТЕПЛОЕ;ЯРКАЯ;1 ЧЕЛ;https://disk.yandex.ru/d/56moRztRlmDGUw
Квартиры;КОМФОРТ;ДВУХКОМНАТНАЯ;50-100;СОВРЕМЕННЫЙ;СВЕТЛАЯ;ТЕПЛОЕ;ЯРКАЯ;СЕМЬЯ ( ПАРА+2);https://disk.yandex.ru/d/60WTuvSYXIii_w
Квартиры;КОМФОРТ;ОДНОКОМНАТНАЯ;25-50;СКАНДИНАВСКИЙ;СВЕТЛАЯ;ХОЛОДНОЕ;НЕЙТРАЛЬНАЯ;1 ЧЕЛ;https://disk.yandex.ru/d/6mb54jmA1LqXUQ
Квартиры;КОМФОРТ;ДВУХКОМНАТНАЯ;50-100;СОВРЕМЕННЫЙ;СВЕТЛАЯ;ТЕПЛОЕ;ЯРКАЯ;ПАРА;https://disk.yandex.ru/d/70f8sOmkrMdkqQ
Квартиры;КОМФОРТ;ДВУХКОМНАТНАЯ;50-100;МИНИМАЛИЗМ;СВЕТЛАЯ;ХОЛОДНОЕ;ЯРКАЯ;ПАРА;https://disk.yandex.ru/d/7GnAPCMaN-6t5A
Квартиры;БИЗНЕС;ДВУХКОМНАТНАЯ;50-100;СОВРЕМЕННЫЙ;ТЕМНАЯ;ТЕПЛОЕ;ЯРКАЯ;СЕМЬЯ ( ПАРА+2);https://disk.yandex.ru/d/8Aq6gMAgFJkCUQ
